title,genres,popularity,release_date,revenue
"Good Luck, Have Fun, Don't Die","[878, 28, 35]",36.7467,2026-02-13,
Vodnická čertovina,"[10751, 14, 10770]",33.3528,1996-01-01,
Turbulence,"[53, 28, 12, 18, 14]",39.2262,2025-11-26,
Frankenstein,"[18, 14, 27]",32.746,2025-10-17,
The Super Mario Galaxy Movie,"[10751, 14, 35, 12, 16]",42.597,2026-04-01,
Spider-Man,"[878, 28, 80, 10770]",31.6355,1977-09-14,
Marty Supreme,"[18, 53]",37.4583,2025-12-19,
The Giver,"[18, 878]",31.597,2014-08-13,
The Godfather,"[18, 80]",36.6592,1972-03-14,
Six Coups,"[53, 16]",28.0369,2014-09-04,
Marty Supreme,"[18, 53]",37.4583,2025-12-19,
High Tor,"[14, 10402]",37.1542,1956-03-10,
Re/Member: The Last Night,[27],36.7701,2025-09-05,
"Good Luck, Have Fun, Don't Die","[878, 28, 35]",36.7467,2026-02-13,
Spider-Man: Homecoming,"[28, 12, 878]",36.6732,2017-07-05,
The Godfather,"[18, 80]",36.6592,1972-03-14,
Hamnet,"[18, 10749, 36]",34.7463,2025-11-26,
The Robbers,[35],34.6795,2009-12-27,
Troll 2,"[28, 14, 53]",34.3091,2025-11-30,
Jurassic World Rebirth,"[878, 12, 28]",34.1986,2025-07-01,
The Running Man,"[28, 53, 878]",33.9026,2025-11-11,
ErOddity(s) 2,"[18, 27, 878]",33.8227,2015-11-24,
Torrente for President,[35],33.5059,2026-03-13,
Maximum Thrust,"[18, 28]",33.4096,2003-12-26,
Vodnická čertovina,"[10751, 14, 10770]",33.3528,1996-01-01,
The Family Plan 2,"[28, 35]",33.2175,2025-11-11,
F1,"[28, 18]",32.9478,2025-06-25,
Frankenstein,"[18, 14, 27]",32.746,2025-10-17,
Last Orders,"[35, 18]",32.6991,2001-09-10,
They Will Kill You,"[28, 35, 27]",32.6677,2026-03-25,
Un hombre por semana,"[35, 10749, 18]",32.5052,2026-01-08,
Forgotten Love,"[18, 10749]",27.6001,2023-09-26,
The SpongeBob Movie: Search for SquarePants,"[16, 10751, 35, 12, 14]",31.3848,2025-12-16,
Operation Kid Brother,"[28, 53]",38.7269,1967-04-20,
El Conde,"[14, 35, 27]",22.2862,2023-09-07,
Dune,"[878, 12]",32.3214,2021-09-15,
Alpha,"[27, 18, 878, 53]",26.9339,2025-08-20,
Desperate Living,"[35, 80]",26.4489,1977-05-27,
From the Ashes,[18],32.0167,2027-06-01,
Transistorized!,"[99, 36]",23.3326,1998-12-31,
Sweet 'n Short,[35],25.7823,1991-12-13,
[REC]⁴ Apocalypse,"[53, 27]",26.7883,2014-10-31,
The Puppetmaster,"[18, 10752, 36]",27.5234,1993-12-08,
Ice Skater,"[18, 53]",28.1185,2026-02-24,
Do Not Enter,[27],90.3849,2026-03-19,
The Lord of the Rings: The Return of the King,"[12, 14, 28]",32.2534,2003-12-17,
Brothers,[18],24.7808,2015-09-12,
Pants,"[35, 18]",23.9474,1917-09-10,
Oppenheimer,"[18, 36]",30.0378,2023-07-19,"$3,761,170"
Oppenheimer,"[18, 36]",30.0378,2023-07-19,"$3,761,170"
Oppenheimer,"[18, 36]",30.0378,2023-07-19,"$3,761,170"
Star Wars: The Last Jedi,"[12, 28, 878]",30.3238,2017-12-13,
Solo Mio,"[10749, 35]",27.2866,2026-02-05,
Run,"[18, 27]",25.0416,2012-10-18,
Superman,"[878, 12, 28]",29.5782,2025-07-09,
Titanic,"[18, 10749]",29.5259,1997-12-18,
Beautiful Brazil,[99],28.3658,1952-02-29,
Inception,"[28, 878, 12]",29.337,2010-07-15,
Dune: Part Two,"[878, 12]",29.2142,2024-02-27,"$282,144,358"
Dune: Part Two,"[878, 12]",29.2142,2024-02-27,"$282,144,358"
Dune: Part Two,"[878, 12]",29.2142,2024-02-27,"$282,144,358"
Avatar,"[28, 12, 878]",29.0826,2009-12-16,
TRON: Ares,"[878, 12, 28]",29.0164,2025-10-08,
Moana,"[10751, 14, 35, 12]",23.9433,2026-07-08,
Scarlet,"[16, 28, 18, 878]",27.1091,2025-11-21,
I Am Sam,[18],28.8262,2001-12-28,
House on Eden,[27],28.8255,2025-07-25,
Spider-Man,"[28, 878]",28.3624,2002-05-01,
ErOddity(s) 2,"[18, 27, 878]",33.8227,2015-11-24,
Saratoga Trunk,"[18, 10749, 37]",28.2639,1945-11-21,
Hamdan,[],21.8196,2013-06-04,
The Catcher,"[80, 18, 10770]",19.1759,1972-06-02,
Robinson Crusoe,"[12, 18]",19.2938,1954-08-05,
Harry Potter and the Philosopher's Stone,"[12, 14]",27.7401,2001-11-16,
Star Knight,"[14, 878]",27.832,1985-12-20,
Chainsaw Man - The Movie: Reze Arc,"[16, 28, 10749, 14]",27.7468,2025-09-19,
Harry Potter and the Philosopher's Stone,"[12, 14]",27.7401,2001-11-16,
The Spider Labyrinth,"[27, 53]",27.6997,1988-08-25,
Ice Age: Collision Course,"[12, 16, 10751, 35, 878]",27.62,2016-06-23,
Forgotten Love,"[18, 10749]",27.6001,2023-09-26,
Avatar: The Way of Water,"[28, 12, 878]",27.5679,2022-12-14,
The Puppetmaster,"[18, 10752, 36]",27.5234,1993-12-08,
Solo Mio,"[10749, 35]",27.2866,2026-02-05,
Good Boy,"[53, 18, 9648]",27.1917,2026-03-06,
Scarlet,"[16, 28, 18, 878]",27.1091,2025-11-21,
Parasite,"[35, 53, 18]",27.1037,2019-05-30,
Alpha,"[27, 18, 878, 53]",26.9339,2025-08-20,
Pulp Fiction,"[53, 80, 35]",26.8022,1994-09-10,
[REC]⁴ Apocalypse,"[53, 27]",26.7883,2014-10-31,
The Devil Wears Prada,"[18, 35]",26.6772,2006-06-29,
The Matrix,"[28, 878]",26.6708,1999-03-31,
The Muppets: A Celebration of 30 Years,"[10751, 14, 10402, 10770, 35, 99]",26.6541,1986-01-21,
Darkest Night,"[27, 18]",26.4869,2012-10-20,
Desperate Living,"[35, 80]",26.4489,1977-05-27,
Zootopia,"[16, 12, 10751, 35]",26.3467,2016-02-11,
Playdate,"[28, 35, 10751]",26.0237,2025-11-04,
Shahenshah,[28],26.0174,1988-01-29,
Love Me Love Me,"[10749, 18]",25.8156,2026-02-12,
Sweet 'n Short,[35],25.7823,1991-12-13,
Trop aimée,[35],25.7777,1910-10-15,
Spirited Away,"[16, 10751, 14]",25.7032,2001-07-20,
The Blue Dahlia,"[80, 9648]",25.6888,1946-04-16,
Mock Up on Mu,"[35, 878]",25.59,2008-01-14,
Blades of the Guardians: Wind Rises in the Desert,"[28, 18, 36]",25.5816,2026-02-17,
Despicable Me 4,"[10751, 35, 16, 878, 28]",25.5815,2024-06-20,"$361,004,205"
Despicable Me 4,"[10751, 35, 16, 878, 28]",25.5815,2024-06-20,"$361,004,205"
Despicable Me 4,"[10751, 35, 16, 878, 28]",25.5815,2024-06-20,"$361,004,205"
Harry Potter and the Chamber of Secrets,"[12, 14]",25.5263,2002-11-13,
The Green Mile,"[14, 18, 80]",25.452,1999-12-10,
Joker,"[80, 53, 18]",25.3048,2019-10-01,
The Alchemy of Ecstasy,"[18, 10749]",25.2382,1999-01-01,
The Godfather Part II,"[18, 80]",25.2015,1974-12-20,
No Hit Wonder,"[35, 18]",25.15,2025-10-30,
Run,"[18, 27]",25.0416,2012-10-18,
Mission: Impossible - The Final Reckoning,"[28, 53, 12]",24.9943,2025-05-17,
Deadpool & Wolverine,"[28, 35, 878]",24.8946,2024-07-24,"$636,745,858"
Deadpool & Wolverine,"[28, 35, 878]",24.8946,2024-07-24,"$636,745,858"
Deadpool & Wolverine,"[28, 35, 878]",24.8946,2024-07-24,"$636,745,858"
Brothers,[18],24.7808,2015-09-12,
The Bad Guys 2,"[10751, 35, 80, 12, 16]",24.6554,2025-07-24,
Kulong,[18],24.6439,2024-05-24,
The Fantastic 4: First Steps,"[878, 12, 28]",24.535,2025-07-23,
Muzzle: City of Wolves,"[28, 53, 9648]",24.4597,2025-11-13,
A Working Man,"[28, 80, 53]",24.3216,2025-03-26,
Boys Don't Cry,"[80, 18]",24.3167,1999-09-02,
The Birth,[99],24.2942,1981-05-16,
Primate,"[27, 53]",24.2078,2026-01-01,
Shrek,"[16, 35, 14, 12, 10751]",24.114,2001-05-18,
Pants,"[35, 18]",23.9474,1917-09-10,
Moana,"[10751, 14, 35, 12]",23.9433,2026-07-08,
Unclenching the Fists,[18],23.9425,2021-09-25,
The Poker Club,"[80, 18, 53]",23.8722,2008-10-16,
Khiam 2000-2007,[99],23.8711,2007-01-01,
GoodFellas,"[18, 80]",23.8187,1990-09-12,
Fight Club,"[18, 53]",23.7764,1999-10-15,
American Made,"[28, 35, 80, 18]",23.6482,2017-08-18,
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,"[80, 35]",23.6447,2025-04-04,
Moana 2,"[16, 12, 10751, 35, 14]",23.602,2024-11-21,"$404,017,489"
Moana 2,"[16, 12, 10751, 35, 14]",23.602,2024-11-21,"$404,017,489"
Moana 2,"[16, 12, 10751, 35, 14]",23.602,2024-11-21,"$404,017,489"
Trap House,"[28, 80, 53]",23.5943,2025-11-14,
Eva,"[18, 10749]",23.5537,2021-12-24,
Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",23.5426,2023-05-31,
Scream,"[80, 27, 9648]",23.4817,1996-12-20,
Bihotzez,[99],23.4742,1985-01-01,
How to Train Your Dragon,"[14, 10751, 28, 12]",23.4632,2025-06-06,
Spider-Man: Into the Spider-Verse,"[16, 28, 12, 878]",23.4581,2018-12-06,
Transistorized!,"[99, 36]",23.3326,1998-12-31,
Nobody 2,"[28, 53]",23.3136,2025-08-13,
The Bride!,"[878, 27, 14]",23.2504,2026-03-04,
Untitled Immaculate Reception Film,[18],23.2427,,
Your Name.,"[16, 10749, 18]",23.2021,2016-08-26,
Tuklas,[18],23.1701,2026-03-20,
Nuremberg,"[36, 18]",23.1148,2025-11-06,
Sisu: Road to Revenge,"[28, 10752]",22.986,2025-10-21,
City Hunter,"[28, 12, 35, 10749]",22.7761,1993-01-14,
Barbie,"[35, 12]",22.7696,2023-07-19,
Fifty Shades of Grey,"[18, 10749, 53]",22.6458,2015-02-11,
Scary Movie,[35],22.6071,2000-07-07,
Dunkirk,"[10752, 28, 18]",22.6068,2017-07-19,
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,"[80, 35]",23.6447,2025-04-04,
Boys Don't Cry,"[80, 18]",24.3167,1999-09-02,
Ready or Not,"[27, 35]",22.5103,2019-08-21,
Swimfan,"[53, 9648, 10749, 18]",60.5096,2002-09-06,
Inside Out 2,"[16, 12, 35, 10751]",22.3562,2024-06-11,"$652,980,194"
Inside Out 2,"[16, 12, 35, 10751]",22.3562,2024-06-11,"$652,980,194"
Inside Out 2,"[16, 12, 35, 10751]",22.3562,2024-06-11,"$652,980,194"
Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",23.5426,2023-05-31,
Crooks,"[80, 53]",18.0373,,
Defenseless,"[53, 9648]",62.502,1991-08-23,
Preschool,[35],19.7751,2026-03-17,
They Learned About Women,"[10402, 18]",18.0238,1930-01-30,
Kulong,[18],24.6439,2024-05-24,
Bill & Ted's Excellent Adventure,"[12, 35, 878]",17.8385,1989-02-17,
The Green Mile,"[14, 18, 80]",25.452,1999-12-10,
Barbie,"[35, 12]",22.7696,2023-07-19,
Murder at the Embassy,"[9648, 53, 28]",18.982,2025-11-14,
Weapons,"[27, 9648]",20.7761,2025-08-04,
BIG STUDENT 学霸,[],17.6423,2025-01-16,
The Conjuring: Last Rites,[27],20.1856,2025-09-03,
The Poker Club,"[80, 18, 53]",23.8722,2008-10-16,
Star Wars,"[12, 28, 878]",21.9503,1977-05-25,
Our Fault,"[10749, 18]",21.3963,2025-10-15,
The Amazing Spider-Man,"[28, 12, 878]",21.3734,2012-06-23,
"12 Mart: ""Sağ-Sol""","[99, 36]",21.3135,1994-05-08,
Spider-Man 3,"[28, 12, 878]",21.2663,2007-05-01,
The Untouchables,"[80, 36, 53]",21.2327,1987-06-03,
'71,"[53, 28, 18, 10752]",21.1901,2014-10-10,
The Amazing Spider-Man 2,"[28, 12, 878]",21.0156,2014-04-16,
Aliens,"[28, 53, 878]",20.9854,1986-07-18,
Top Gun: Maverick,"[28, 18]",20.8306,2022-05-21,
Weapons,"[27, 9648]",20.7761,2025-08-04,
Fever Pitch,"[10749, 35]",20.7591,2005-04-06,
Mr. Prokouk: A Horseshoe for Luck,"[16, 35]",20.7405,1946-07-12,
The Adolescent,[18],20.7375,1979-01-24,
Dune: Part Three,"[878, 12]",20.7092,2026-12-16,
Josh's Suicide,[35],20.6549,1911-10-12,
See No Evil,"[53, 27]",20.5861,1971-09-02,
Back to the Future,"[12, 35, 878]",20.4567,1985-07-03,
My Days of Mercy,"[10749, 18]",20.3871,2018-03-31,
Fib the Truth,"[18, 53]",20.3559,2021-09-09,
Captain America: Brave New World,"[28, 53, 878]",20.3357,2025-02-12,
Forrest Gump,"[35, 18, 10749]",20.2556,1994-06-23,
Ne Zha 2,"[16, 14, 12, 28]",20.2002,2025-01-29,
Scream,"[27, 9648]",20.197,2022-01-12,
The Conjuring: Last Rites,[27],20.1856,2025-09-03,
Drag Racer,"[28, 18]",20.1325,1972-08-04,
The Killing Floor,"[80, 53, 27]",20.1255,2007-05-10,
Nurse Abi,[18],20.118,2024-06-21,
Dr. Jekyll and Mr. Hyde,"[18, 27, 878]",20.0459,1913-03-06,
Frozen,"[16, 10751, 12, 14]",20.0158,2013-11-20,
Cosmic Princess Kaguya!,"[16, 14, 10402, 878]",20.01,2026-01-22,
Solo Leveling -ReAwakening-,"[28, 12, 14, 16]",20.0057,2024-11-26,
Icefall,"[28, 80, 53]",19.9574,2025-10-16,
Blade Runner 2049,"[878, 18]",19.9561,2017-10-04,
Final Destination Bloodlines,"[27, 9648]",19.8742,2025-05-14,
The Terminator,"[28, 53, 878]",19.8641,1984-10-26,
Inside Out,"[16, 10751, 12, 18, 35]",19.8258,2015-06-17,
The Family Plan,"[28, 35, 10751]",19.8188,2023-12-14,
The Lord of the Rings: The Two Towers,"[12, 14, 28]",19.79,2002-12-18,
Preschool,[35],19.7751,2026-03-17,
Kantara - A Legend: Chapter 1,"[28, 18, 14]",19.6295,2025-10-01,
Iron Man 2,"[12, 28, 878]",19.6061,2010-04-28,
Louis Theroux: Inside the Manosphere,[99],19.574,2026-03-10,
Coco,"[10751, 16, 10402, 12]",19.5603,2017-10-27,
Beauty and the Beast,"[10751, 14, 10749]",19.5433,2017-03-16,
The Mummy,"[12, 28, 14]",19.5101,1999-04-16,
The Torture Club,"[18, 35]",19.468,2014-07-19,
Iron Man,"[28, 878, 12]",19.463,2008-04-30,
The Longest Penalty Shot in the World,[35],19.3776,2005-03-08,
Robinson Crusoe,"[12, 18]",19.2938,1954-08-05,
Toy Story,"[10751, 35, 16, 12]",19.285,1995-11-22,
Regretting You,"[10749, 18]",19.274,2025-10-22,
Fast X,"[28, 80, 53]",19.2463,2023-05-17,
Madness,"[53, 28, 80]",19.2249,1980-03-20,
The Catcher,"[80, 18, 10770]",19.1759,1972-06-02,
Sonic the Hedgehog 3,"[28, 878, 35, 10751]",19.1409,2024-12-19,"$151,558,894"
Sonic the Hedgehog 3,"[28, 878, 35, 10751]",19.1409,2024-12-19,"$151,558,894"
Sonic the Hedgehog 3,"[28, 878, 35, 10751]",19.1409,2024-12-19,"$151,558,894"
Murder at the Embassy,"[9648, 53, 28]",18.982,2025-11-14,
Pirates of the Caribbean: The Curse of the Black Pearl,"[12, 14, 28]",18.9605,2003-07-09,
Black Panther,"[28, 12, 878]",18.901,2018-02-13,
You Drive Me Crazy,"[35, 10749, 14]",18.7977,2025-10-09,
The Wolf of Wall Street,"[80, 18, 35]",18.7703,2013-12-25,
My Bloody Valentine,"[27, 53]",17.3284,2009-01-16,
Ballerina,"[28, 53, 80]",17.8696,2025-06-04,
The Wild Robot,"[16, 878, 10751, 12, 18]",18.3538,2024-09-12,"$143,190,445"
The Wild Robot,"[16, 878, 10751, 12, 18]",18.3538,2024-09-12,"$143,190,445"
The Wild Robot,"[16, 878, 10751, 12, 18]",18.3538,2024-09-12,"$143,190,445"
Kraken,"[878, 12, 18]",18.2882,2025-04-17,
The Tank,"[10752, 28, 18]",16.965,2025-09-18,
Hannah Montana 20th Anniversary Special,"[99, 10751, 10402]",32.4369,2026-03-23,
Wicked: For Good,"[14, 12, 10749]",18.1848,2025-11-19,
Gondho,[],22.089,,
Plastic,[],12.3293,2023-07-14,
The King's Warden,"[36, 18]",18.6927,2026-02-04,
Fast X,"[28, 80, 53]",19.2463,2023-05-17,
"12 Mart: ""Sağ-Sol""","[99, 36]",21.3135,1994-05-08,
Pirates of the Caribbean: The Curse of the Black Pearl,"[12, 14, 28]",18.9605,2003-07-09,
Cruella,"[35, 80, 12]",17.3376,2021-05-26,
Madness,"[53, 28, 80]",19.2249,1980-03-20,
Homo Promo,[99],51.9866,,
One Summer Story,"[18, 35]",16.9498,2021-08-20,
Palimpsests,[99],50.4147,2017-09-27,
Play Dirty,"[80, 28, 53]",16.8928,2025-09-30,
Inside Out,"[16, 10751, 12, 18, 35]",19.8258,2015-06-17,
Thérèse,[18],18.0862,2012-05-27,
Crooks,"[80, 53]",18.0373,,
They Learned About Women,"[10402, 18]",18.0238,1930-01-30,
Guardians of the Galaxy Vol. 3,"[878, 12, 28]",18.0017,2023-05-03,
No Other Choice,"[35, 80, 53]",17.9141,2025-09-24,
Ballerina,"[28, 53, 80]",17.8696,2025-06-04,
Bill & Ted's Excellent Adventure,"[12, 35, 878]",17.8385,1989-02-17,
Wecht,[],17.8294,1972-01-01,
Awake,"[53, 80, 9648]",17.8286,2007-11-28,
La La Land,"[35, 18, 10749]",17.8168,2016-12-01,
Swan Song,[18],17.8146,1992-01-01,
Gates of Flesh,"[27, 53, 28]",17.7857,2025-04-08,
The Substance,"[27, 878, 53]",17.7692,2024-09-07,"$16,447,054"
The Substance,"[27, 878, 53]",17.7692,2024-09-07,"$16,447,054"
The Substance,"[27, 878, 53]",17.7692,2024-09-07,"$16,447,054"
Twilight,"[14, 18, 10749]",17.7217,2008-11-20,
Captain America: Civil War,"[12, 28, 878]",17.6999,2016-04-27,
BIG STUDENT 学霸,[],17.6423,2025-01-16,
Bugonia,"[878, 53, 35]",17.5591,2025-10-23,
Batman v Superman: Dawn of Justice,"[28, 12, 14]",17.4676,2016-03-23,
The Mechanical Grave,[],17.4522,2012-05-05,
The Batman,"[80, 9648, 53]",17.437,2022-03-01,
Dire Wolf,[27],17.4203,2009-09-25,
The Naked Gun,"[28, 35, 80]",17.3965,2025-07-30,
Up,"[16, 35, 10751, 12]",17.3541,2009-05-28,
Cruella,"[35, 80, 12]",17.3376,2021-05-26,
My Bloody Valentine,"[27, 53]",17.3284,2009-01-16,
Arrival,"[18, 878, 9648]",17.2835,2016-11-10,
The Dark Knight Rises,"[28, 80, 18, 53]",17.2423,2012-07-17,
I Murder Seriously,"[35, 80, 18]",17.2267,2002-10-11,
Wicked,"[18, 10749, 14]",17.1943,2024-10-16,"$432,943,285"
Wicked,"[18, 10749, 14]",17.1943,2024-10-16,"$432,943,285"
Wicked,"[18, 10749, 14]",17.1943,2024-10-16,"$432,943,285"
Avengers: Age of Ultron,"[28, 12, 878]",17.1186,2015-04-22,
Guardians of the Galaxy Vol. 2,"[878, 12, 28]",17.1003,2017-04-19,
Firebreak,"[53, 18]",17.0797,2026-02-19,
Christmas in Paradise,"[35, 10751]",17.0435,,
Harry Potter and the Goblet of Fire,"[12, 14]",17.0419,2005-11-16,
Obsessed,[18],17.0159,2014-05-14,
The Tank,"[10752, 28, 18]",16.965,2025-09-18,
One Summer Story,"[18, 35]",16.9498,2021-08-20,
Fury,"[10752, 18, 28]",16.9272,2014-10-15,
Your Fault,"[18, 10749]",16.8968,2024-12-26,
Play Dirty,"[80, 28, 53]",16.8928,2025-09-30,
"Monsters, Inc.","[16, 35, 10751]",16.7944,2001-11-01,
The Hobbit: The Battle of the Five Armies,"[28, 12, 14]",16.7911,2014-12-10,
Grizzly Night,"[27, 53, 18]",16.7895,2026-07-02,
The Voice of Hind Rajab,[18],16.7555,2025-09-10,
Caught Stealing,"[80, 53, 35]",16.7343,2025-08-26,
A Perfect Ending,"[18, 10749]",16.7249,2012-06-01,
Red Sonja,"[12, 28, 14]",16.7156,2025-07-31,
Tell Me What You Want,"[10749, 18]",16.7032,2024-11-29,
Head Over Heels,[],16.6591,1937-02-12,
The Way of the Dragon,"[28, 80]",16.6481,1972-12-30,
Gladiator,"[28, 18, 12]",16.6405,2000-05-04,
Deacons for Defense,"[18, 10770]",16.6314,2005-04-05,
Midnight Matinee,"[27, 9648, 53, 10770]",16.623,1988-10-12,
Wonder Woman,"[28, 12, 14]",16.6192,2017-05-30,
BTS THE COMEBACK LIVE | ARIRANG,[10402],16.5956,2026-03-21,
Gone Girl,"[9648, 53, 18]",16.5467,2014-10-01,
The Last Viking,"[35, 80, 18]",16.5458,2025-10-09,
The Sisters,[18],16.5101,2005-04-23,
I Swear,[18],16.5017,2025-09-22,
